sentence,source,speaker,animacy,CLF,CLF_type,code
"Pada suatu hari, ada dua anak laki-laki yang berteman. Mereka satu sekolah.",frog,3,anim,no,,spoken
"Ada dua anak bersahabat, yang satu pake kacamata dan berjerawat, yang satu laginya tidak.",frog,6,anim,no,,spoken
"Ada dua orang anak yang, anak laki-laki yang bersahabat.",frog,7,anim,yes,orang,spoken
Ada dua orang anak laki-laki bersahabat.,frog,9,anim,yes,orang,spoken
Ada dua laki-laki dan ee berteman.,frog,10,anim,no,,spoken
"O, ternyata, si David juga mempunyai ee dua teman,",frog,10,anim,no,,spoken
"Tapi , kenapa kau minum dua cangkir kopi ?",sub,1,inanim,no,,spoken
Menurutku wajar merasa gugup bagi dua orang saling memeluk .,sub,2,anim,yes,orang,spoken
Anda akan membangun kontak pada tanah dengan dua anggota baru Filantropi .,sub,3,anim,no,,spoken
Saya bisa melihat dua prajurit pada tingkat yang lebih rendah .,sub,4,anim,no,,spoken
"Eh , dua monster besar ... dengan mata hijau yang besar !",sub,5,anim,no,,spoken
Hanya ditemukan ketika dua hati lembut mengalahkan,sub,6,inanim,no,,spoken
"dua orang kurir Jerman yang membawa dokumen resmi , terbunuh di kereta api dari Oran",sub,7,anim,yes,orang,spoken
dua orang kurir Jerman ditemukan terbunuh di padang pasir .,sub,8,anim,yes,orang,spoken
"kasihan sekali dua orang kurir Jerman itu , ya ?",sub,9,anim,yes,orang,spoken
dua penjaga di tiap pintu .,sub,10,anim,no,,spoken
- tidak. dua champagne cocktails .,sub,11,inanim,no ,,spoken
tolong dua cognac .,sub,12,inanim,no ,,spoken
Ada sebuah taman yang indah di mana dua anak bermain .,sub,13,anim,no ,,spoken
"Berbicara tentang paruh , apa waktu dua toucans telah bercinta .",sub,14,anim,no ,,spoken
Apa gadis cantik seperti kamu lakukan menikahi saudara ini berkepala dua tambang ?,sub,15,inanim,no ,,spoken
"Annie , kami hanya dua pembantu tua sekarang .",sub,16,anim,no ,,spoken
Mary memiliki dua bayi lebih tetapi masih ditemukan waktu untuk menjalankan USO .,sub,17,anim,no ,,spoken
Anda harus berarti dua pohon lainnya .,sub,18,inanim,no ,,spoken
Kita bisa membuat dua manusia salju .,sub,19,inanim,no ,,spoken
"Namun ada satu rumah , paling tidak , di mana dua hati yang setia masih dipegang kehangatan amal Kristen .",sub,20,inanim,no ,,spoken
Hanya ada dua kamar .,sub,21,inanim,no ,,spoken
"Bersama-sama lagi , seperti dua bintang kecil .",sub,22,inanim,no ,,spoken
"Husband Dan dua putra , tewas .",sub,23,anim,no ,,spoken
Tiga puluh dua desertir dari sisi lain .,sub,24,anim,no ,,spoken
"Siapkan minum , Bartender , dua wiski .",sub,25,inanim,no ,,spoken
